Kategori,Label,Username,Content,Location,Created at
1,Positif,etredeese,@iridescxense beneeerrr semoga bisa cepetan ptm deh aku gatau mau ngapain kalo di rumah terus😭,16,2022-02-09 04:53:16+00:00
1,Positif,Rikyurin,@jihooniesuk ini lagi ptm sekarang tpi tdi dikabarin besok mau pjj lgi soalnya ada yg positif😿,,2022-02-09 04:52:24+00:00
1,Positif,jueuncv,pengen ptm pelis,,2022-02-09 04:52:05+00:00
0,Netral,heedzeung,"@smjaezyy wkwkwkwk kmrn rest, ptm ya?",,2022-02-09 04:51:56+00:00
1,Positif,hyuckieyowok_,@renrencrush masih ptm kah? semangattt 😍👍,,2022-02-09 04:51:38+00:00
1,Positif,Euphori4girl,"@schfess ptm, bisa ngobrol. trs pas pulang bisa lunch barenggh, bisa ke gramed",,2022-02-09 04:50:51+00:00
0,Netral,jjkeylv,"@seokzjjiin ptm, hbu?",,2022-02-09 04:50:38+00:00
1,Positif,alexizgp10,@carlosayonnn ptm ya me awuite 🥲,"Puerto Vallarta, Jalisco",2022-02-09 04:50:38+00:00
0,Netral,illbeyourhome__,@asteround loh masih ptm?,,2022-02-09 04:50:36+00:00
0,Netral,oskamanelaofc,oska ! suka ptm atau pjj niii?,"Lamongan, Indonesia",2022-02-09 04:50:32+00:00
0,Netral,AkunLonteAussie,"@ritafauzh @bakriwin org smart ya spt ibu ketua ptm ini,,,lgsg pada solusinya,bukan muter2 maju mundur pd masalah nya...",,2022-02-09 04:50:28+00:00
0,Netral,ffairyandy,@kdycrystalies_ aktif ptm maksutnya,,2022-02-09 04:49:55+00:00
0,Netral,JihoonieSuk,@rikyurin aku ptm nieee,,2022-02-09 04:49:50+00:00
1,Positif,DIVEZNE,"kalian yang masih ptm stay safe ya. semua sih bukan yg ptm aja, pokoknya stay safe, stay healthy, kalo ga penting2 bgt jgn keluar 😔",,2022-02-09 04:48:50+00:00
0,Netral,imdhiar_,@separatje jarak jauh apa ptm?,"Yogyakarta, Indonesia",2022-02-09 04:48:43+00:00
0,Netral,kayynnayc,"@schfess pjj, karena dr kmrn ptm uda drop 2 kali padahal selama pjj jarang bgt sakit🙂 dan juga selama pjj aku bisa nyambi belajar yang lain jadii fix enak pjj sih✌️",,2022-02-09 04:47:53+00:00
1,Positif,Cheolhao28,"@hengni_i ptm nihh,siyapp👍",,2022-02-09 04:47:41+00:00
1,Positif,hyuckieyowok_,ini masih pada pjj/ptm kahh? sepii bangett,,2022-02-09 04:47:41+00:00
1,Positif,neocteu,@chenlerby w ptm yhhh,,2022-02-09 04:47:40+00:00
1,Positif,noestalsgia,tapi kalo ptm takut juga sama suasana skrg,,2022-02-09 04:47:29+00:00
-1,Negatif,poesiecorel,jumat pramuka ptm 100% ih males,,2022-02-09 04:46:57+00:00
0,Netral,Sunlovl,"@schfess pjj, bisa smbil buat kue, ngrawat taneman, nyuci piring, klo ptm energi gw terkuras jdi capek bngt ampe rumah mager mau ngap ngpain, ptm jg seru sie tpi pjj lbih lope. klo pjj juga dirumah sndiri jdi kek bebaz gtuh, tdi pagi buat pie trs ini baru selse bentuk roti goreng ma donat", Lampung,2022-02-09 04:46:53+00:00
0,Netral,jjanuarich,ptm 50% ga seruuuu,,2022-02-09 04:45:57+00:00
1,Positif,SlekoorsDraft,"to : 08, 11 ips 3 from : me  belakangan ini kamu ga keliatan di sekolah, lagi sakit ya? kalo iya, cepet sembuh.. biar waktu ptm aku bisa ngelihat kamu lagi :)",,2022-02-09 04:45:53+00:00
1,Positif,kalesangmedia,siap-siap siswa di ternate ptm 50% jika jumlah inveksi covid naik,"Maluku Utara, Indonesia",2022-02-09 04:45:41+00:00
1,Positif,Lotve,"@leelinoooooo gws buat dosennya, enak ya masih online, aku dah ptm",,2022-02-09 04:45:14+00:00
1,Positif,qeisyaedma,@hcchndghyck @tanyakanrl hahahahhaha iya bener dirimu semangatku ptm 👍🏻👍🏻👍🏻👍🏻 terimakasih semangatnya doain bisa kenalan kak😪,,2022-02-09 04:45:11+00:00
1,Positif,JUNGcrwon,@chenlerby baru pulang ak masih ptm😔,,2022-02-09 04:44:50+00:00
1,Positif,chips0_0,@filzterpjm lohh masih ptm???,,2022-02-09 04:44:24+00:00
1,Positif,filzterpjm,"@chips0_0 ihh enakk, hr ini aku ptm alhamdulillah lancar🥰",,2022-02-09 04:44:03+00:00
0,Netral,seokzjjiin,@vanttaetic ana hari ini ptm atau pjj?,,2022-02-09 04:43:47+00:00
1,Positif,neflisha,yah ptm terbatas lagi 😔,,2022-02-09 04:43:27+00:00
1,Positif,ankgkatan,"main hp rebahan, makanya enakan ptm lbh masuk",,2022-02-09 04:43:14+00:00
1,Positif,portalkuduscom,"mulai hari ini, pemkab semarang terapkan ptm 50%","Pati, Indonesia",2022-02-09 04:43:05+00:00
0,Netral,seokzjjiin,@k1mseokjln kmu ptm atau pjj?,,2022-02-09 04:42:55+00:00
1,Positif,0X1DONGKYU,@regulus_hoshi @howlscy @schfess oalah tapi untung di daerah bintara masih bisa ptm 50%,,2022-02-09 04:42:49+00:00
0,Netral,seokzjjiin,"@dinjk_ ndin, hari ini ptm atau pjj?",,2022-02-09 04:42:06+00:00
0,Netral,seokzjjiin,"@sgrxmin naz, hari ini ptm atau pjj?",,2022-02-09 04:41:26+00:00
0,Netral,seokzjjiin,@jjkeylv hari ini ptm atau pjj?,,2022-02-09 04:41:06+00:00
0,Netral,seokzjjiin,"@sgeniekim kmu hari ini ptm atau pjj, shin?",,2022-02-09 04:40:58+00:00
1,Positif,eradotid,"""(jadi) sesuai inmendagri nomor 9 tahun 2022, penghentian ptm diperpanjang dari tanggal 8 sampai 14 februari 2022,"" katanya, selasa (08/02/2022)",Jakarta Capital Region,2022-02-09 04:40:03+00:00
0,Netral,dwuitt,"kira kira jadi ptm gak ya, aku gabrani suntik😭😭",,2022-02-09 04:39:57+00:00
1,Positif,nanstudiez,@schfess ptm krn lebih ngerti sie,,2022-02-09 04:38:18+00:00
1,Positif,kyoukalokal,mingdep udh ptm 50 50 lagiiii niceee,,2022-02-09 04:38:17+00:00
1,Positif,ebeidou,demi allah gue mau ptm aja pls telinga gue capek,,2022-02-09 04:37:51+00:00
1,Positif,Fahranianissa1,pemerintah evaluasi aturan ptm. menuju kejayaan nusantara,,2022-02-09 04:37:47+00:00
1,Positif,Fahranianissa1,pemerintah evaluasi aturan ptm. menuju kejayaan nusantara,,2022-02-09 04:37:39+00:00
1,Positif,Fahranianissa1,menteri pendidikan terbitkan diskresi ptm terbatas. menuju kejayaan nusantara,,2022-02-09 04:37:36+00:00
1,Positif,Fahranianissa1,"menuju nadiem terbitkan diskresi ptm terbatas, ppkm level 2 kapasitas 50 persen. kejayaan nusantara",,2022-02-09 04:37:35+00:00
1,Positif,trydlsa,"mau pjj atau ptm, jujur aku lebih suka soal pg daripada essay. pas gue smp materi yang disuruh jelasin cara reproduksi makhluk hidup tertentu aja gue cuman bisa nangis. apalagi sekarang, materi beginian banyak banget 😔👎",,2022-02-09 04:37:22+00:00
1,Positif,bucinnfkugm,"@schfess pjj = waktu lebih fleksibel, ga capek, bisa sambil makan, gada kerkom, kalo izin sakit ga ketinggalan pelajaran  ptm = lebih mudah paham materi, ketemu temen2",,2022-02-09 04:37:22+00:00
1,Positif,alfrsyfltf,@aingstress_ ets waktu ptm bagus,,2022-02-09 04:37:07+00:00
1,Positif,zevases_,"@sscodde iyaaa ni, tpi kls 12 doang yg ptm itu jga kelasnya di bagi 2🥲 huhuhu thank u! 🤍",,2022-02-09 04:36:51+00:00
1,Positif,Mochafloa,sksksks udah seneng ptm eh sekarang pjj lagii😭,,2022-02-09 04:35:48+00:00
1,Positif,mitharchive,"@tefirach @schfess ini contoh ptm siang yaa, soalnya belum daring lagi, aku lebih suka yang spesifik setiap jam nya, biar ngga keteteran gitu",,2022-02-09 04:35:43+00:00
1,Positif,ddowocn,"@schfess ptm. karna bisa ketemu temen terus lebih nangkep materinya, lebih aktif juga kalo ada pertanyaan dr guru dan lebih produktif 👍👍",,2022-02-09 04:35:17+00:00
1,Positif,valesoshum22,gajadi ptm 💪 pjj lagi 💪,,2022-02-09 04:34:51+00:00
-1,Negatif,tekukcoty,ihh hari ini ptm terakhir.. anjirlahh,,2022-02-09 04:34:42+00:00
0,Netral,beomchergyu,masih ada yang ptm emang?,,2022-02-09 04:34:39+00:00
1,Positif,NFJaksel,"di akun sip, kehadiran kamu di kelas ptm bakal terpantau. so, jangan lupa ngisi presensi sebelum masuk kelas, yaa..   biar mama di rumah merasa yaqeeen kamu bener-bener belajar di nf, ga melipir ke mana-mana.. 😉  #presensi #bimbel #tatapmuka #bimbelnf #nfjaksel",Jakarta Selatan,2022-02-09 04:34:36+00:00
1,Positif,ismatchaa,"@schfess ptm, dpet uang dpet ilmu, jg lebih produktif",,2022-02-09 04:33:58+00:00
1,Positif,zhoeyji,"@schfess ptm, ktmu tmn",,2022-02-09 04:33:43+00:00
1,Positif,cacapinginambis,aku ptm guysssss kalian ptm gx nich?,,2022-02-09 04:33:16+00:00
1,Positif,gleesplash,@schfess jelas ptm,"Bandung, Indonesia",2022-02-09 04:32:50+00:00
1,Positif,MamaKetjeh,@ritafauzh @wjoko568 anggota ptm garis keras g pernah kebagian tissue,"Kota Surabaya, Jawa Timur",2022-02-09 04:32:27+00:00
1,Positif,ChiboloPolilla_,@malditopretell ptm percy 😭😭😭😭😭,"Lima, Peru",2022-02-09 04:32:01+00:00
1,Positif,jaypokoknya2,"aaaa bsk ptm,mana pakek kebaya:((",,2022-02-09 04:31:07+00:00
1,Positif,jawapos,3 sekolah di medan stop ptm,,2022-02-09 04:31:04+00:00
0,Netral,Floresf84401411,ptm meriyein :(,,2022-02-09 04:30:07+00:00
1,Positif,MolloHello,"@schfess ptm, karena aku tipe belajar yang harus dengerin secara langsung supaya lebih masuk sama lebih banyak interaksinya, tapi kadang abis ptm suka langsung tepar jadi waktu di rumah full nyantai ajaa gabisa terlalu produktif huhu 😭",,2022-02-09 04:29:50+00:00
1,Positif,malkaleegra,@l0ving_yoou masih ptm zel?,,2022-02-09 04:29:26+00:00
1,Positif,katanyasilva,terbitkan diskresi ptm terbatas  menuju kejayaan nusantara,,2022-02-09 04:28:43+00:00
1,Positif,inlvwwonwoo,"@ssamuthinkers aku udh selesai ptm, hbu",,2022-02-09 04:28:37+00:00
1,Positif,Redaksi_5News,"siswa dan guru terpapar covid-19, semarang hentikan ptm sementara","Pati, Indonesia",2022-02-09 04:28:35+00:00
1,Positif,lilgirlsuk,@ynjhkiee lagi ptm dluu bestie,,2022-02-09 04:28:35+00:00
1,Positif,narluvv,pada g niat ptm kalo disesi begini temen gw pada😭😭,"DKI Jakarta, Indonesia",2022-02-09 04:28:32+00:00
1,Positif,Sapisaurus1,"@schfess ptm, karena bisa ketemu mas crush",,2022-02-09 04:27:40+00:00
1,Positif,hacnjihan,"@elegiapi ya allah, stay safe yaa kak pijarr. semoga nanti cepet ptm lagi yaa",,2022-02-09 04:27:19+00:00
1,Positif,JuaraKe1,"@wjoko568 pusing banget ya pa guru, saya aja sebagai orang tua mau nya anak anak ptm di bandingkan pjj",,2022-02-09 04:27:16+00:00
1,Positif,univjungs,besok ptm lagi asik,,2022-02-09 04:26:11+00:00
1,Positif,sksiid_nur,"@schfess anaknya dimasa depan : ""ma dulu ketemu papa gimana?"" ""dulu kita ketemu gegara ke prank ptm dek, disekolah cma kita berdua doang😭🙏"" plot twist banget😭😭😭",,2022-02-09 04:25:46+00:00
0,Netral,xeesoxjee,"ptm kapan ya, gua butuh duit",,2022-02-09 04:25:25+00:00
0,Netral,JWNL0VE,kalian ptm atau pjj?,,2022-02-09 04:25:12+00:00
1,Positif,luftilufti21,"kl rabu online/ptm sm2 menguras tenaga anjir, yaallah maaf ngeluh lg, lg capek soalnyaaaa",,2022-02-09 04:25:07+00:00
1,Positif,NurAlis74284183,"pemerintah evaluasi aturan ptm, wilayah ppkm level 2 boleh terapkan kapasitas 50%  menuju kejayaan nusantara","Mamuju, Indonesia",2022-02-09 04:24:58+00:00
1,Positif,kimdoyoungsmile,"sudah kudagu, ptm memang lebih baik",,2022-02-09 04:24:53+00:00
1,Positif,xeesoxjee,"@chezzpie enakan ptm pls selain materi bisa di mengerti, bonusnya bisa ketemu ayang",,2022-02-09 04:24:49+00:00
1,Positif,smk_krisaka,"hari ini rabu, 9 februari 2022 telah dilaksanakan sidak di smk kristen 1 klaten oleh tim satgas covid-19 kabupaten klaten. hasil sidak baik dan sudah mentaati protokol kesehatan. sehingga tetap bisa melanjutkan kbm dengan ketentuan ptm 50%.  #smk #krisaka #eksis","Klaten, Jawa Tengah",2022-02-09 04:24:34+00:00
1,Positif,phynzx,@ohsungjn wah seru tu bisa ptm😍 pelajaran apa aja hari ini,,2022-02-09 04:23:59+00:00
0,Netral,raowlll,"@doyrdhj benerr, pjj bikin malas rasanya pengen rebahan terus, klo ptm enak kaya lebih produktif gitu dehh asjkfgs",,2022-02-09 04:23:56+00:00
1,Positif,hancuties,@lovrssland pdhl ptm/pjj sama aja klo gurunya bisa,,2022-02-09 04:23:34+00:00
1,Positif,noviadmyy,@ritafauzh @wjoko568 aku anggota ptm setiaaa setiap menerima 1 pack tm bundaaa hihihi🙏❤❤,,2022-02-09 04:23:26+00:00
1,Positif,dieiein,"@schfess ptm, lebih nangkep aja pelajarannya",,2022-02-09 04:23:24+00:00
1,Positif,AyuNadi66,evaluasi aturan ptm menuju kejayaan nusantara,"Kalimantan Tengah, Indonesia",2022-02-09 04:23:14+00:00
1,Positif,geunbul,@niwskala thankyou ka floo 🥺💗 jujur takut sihh ptm karena lagi naik lagi kasus covidnyaa 😥,,2022-02-09 04:22:37+00:00
1,Positif,MdSafiraa,bru bikin journal keseharian selama ptm 100% eh langsung pjj lg,,2022-02-09 04:22:32+00:00
1,Positif,joooveon,@queennkrii seharusnya hari ini ptm tapi guruku ada rapat jadi pjj hehehe. trs temen tiba tiba main ya udah ini lagi di rumah dia. nanti malem mau nugas sih,,2022-02-09 04:22:30+00:00
1,Positif,hiynab,plsss mau ptm aja kalo uprak gini mah😭😭😭😭😭,,2022-02-09 04:22:21+00:00
1,Positif,salaamitusalam,@ritafauzh hidup ptm keras kuat dan tahan lama,"East Java, Indonesia",2022-02-09 04:22:08+00:00
1,Positif,sevasyafc,"@schfess gaada, pas ptm aja gaada istirahatnya😃tp dari jam 7.30-11.15 doang sihh",,2022-02-09 04:21:29+00:00
1,Positif,Hopeachyy,"@schfess ptm, karena gw bisa diskusi dan langsung tanya jawab sm guru maupun temen.... btw cara belajar gw kek gtu",,2022-02-09 04:21:04+00:00
1,Positif,alipiiuu,"semoga cpt ptm yaa, biar saya bs peluk kalian",,2022-02-09 04:21:01+00:00
1,Positif,jawapos,"gresik masuk ppkm level 2, sma/smk terapkan ptm 50 persen",,2022-02-09 04:20:51+00:00
0,Netral,anaknyasuga_,"masa iyaaa si, ada yg kena kopid sekolah masih ptm :)",,2022-02-09 04:20:47+00:00
1,Positif,jwuniess,"@abcyeonjun sedi bgt astaga onlen lagi, moga aj bisa cepet ptm lagi😭",,2022-02-09 04:20:37+00:00
1,Positif,penggwinchoi,"ptm 50% serasa private class, cuma 5 orang yang masuk...",,2022-02-09 04:20:17+00:00
1,Positif,KenAyuuuu,@ritafauzh pokoknya aku padamu lah bu ketum ptm 🤩🤩🤩,,2022-02-09 04:20:07+00:00
1,Positif,devicalt_,pengen ptm dah :)),,2022-02-09 04:19:54+00:00
1,Positif,07060j4,"@schfess ptm, soalnya udh klop bgt sama anak kelas",,2022-02-09 04:19:50+00:00
1,Positif,tiramiss__u,"@owyeacaca ehehehe dari ngumpet, gakdeng susah bagi waktu selama ptm:((",,2022-02-09 04:19:42+00:00
1,Positif,elegiapi,"siapa yang baru ptm 2 hari langsung pjj, iya aku",,2022-02-09 04:19:39+00:00
1,Positif,naidafebrina,@duduwltiya tya di sekolah tya udh 50% ptm nya?,,2022-02-09 04:19:36+00:00
1,Positif,jawapos,ptm dua sekolah dihentikan  #riaupos #riau,,2022-02-09 04:19:25+00:00
1,Positif,Staerrynight95_,"@xxrluluu haii kamu, gmn kabarnya? hari ini sekolah pjj atau ptm? semoga harimu baik yaa semangatt 💗",,2022-02-09 04:19:15+00:00
1,Positif,shethemaniac,@regularoxk aku pjj 👍👍👍 tapi pas ptm gada yg ngeh aku bawa jga sih hahah,,2022-02-09 04:19:13+00:00
1,Positif,riaupos,ptm dua sekolah dihentikan. - #riaupos  #penambahancovidriau #covid19 #pltkepaladinaskesehatanriau #infocovidriau #ptmduasekolahberhenti #sekolahdipekanbaru #smpn18pekanbaru #durasiptm #kasusnasionalnaik,Pekanbaru,2022-02-09 04:19:05+00:00
1,Positif,jeonginsby,@schfess ptm tiap hari biar gue ga gabut. kalo di rumah mulu cenderung males gerak jadi badan sakit semua,,2022-02-09 04:18:28+00:00
1,Positif,YanaZzcl,@ritafauzh ptm itu cinta damai ya kan bu sultan..😘😘😘,,2022-02-09 04:17:51+00:00
1,Positif,bucinkimiaaa,"@cacctuss_0 itu juga bukan didlm sekolah, itu diwarung dekat sekolah. sekolahku sejak ptm malah gaada kantinnya😭😭",,2022-02-09 04:16:52+00:00
-1,Negatif,haranhoul,gw malas anjingg pgen cepet2 ptm,,2022-02-09 04:16:47+00:00
0,Netral,d1l3mma7,yang***** ptm,,2022-02-09 04:16:33+00:00
0,Netral,seaceous,@schfess ptm 50% trs masuknya cuma 2x seminggu,,2022-02-09 04:16:31+00:00
1,Positif,katanya_nia,terbitkan diskresi ptm terbatas untuk lindungi para pelajar  menuju kejayaan nusantara,,2022-02-09 04:16:01+00:00
0,Netral,archaetypal,bosen bgt ptm ga ada gurunya,,2022-02-09 04:15:44+00:00
1,Positif,JJHLV97,semoga ptm dehh 🙄🕯️🕯️🕯️,,2022-02-09 04:15:37+00:00
1,Positif,ggukiesunrise,"pengen ptm, pjj bikin stress ya allah asli",,2022-02-09 04:15:36+00:00
1,Positif,elvpurple,@schfess tentu saja ptm di rumah stress + gapaham materi ngang ngong + hampir 24/7 natap layar lepi or hp + lingkungan ga mndukung pokonya jadi stress dan ga produktif,,2022-02-09 04:15:24+00:00
1,Positif,iL0v3phuwin,"@dizephyrrr huhuhu semoga zona ijo terus yaa, stay safe😭😭tpi ptm enak lohh, tergantung ada temen apa gak sih ya",,2022-02-09 04:14:44+00:00
1,Positif,BakriWin,"@ritafauzh ketua ptm memang keren,segala masalah langsung di beresin. mantap ibu sultan",,2022-02-09 04:13:58+00:00
1,Positif,morawiyaga,"@schfess ptm, saya butuh sosialisasi dengan orang lain",,2022-02-09 04:13:53+00:00
1,Positif,mahedly,@tiramiss__u aaa kamu masih ptm wa??,,2022-02-09 04:13:39+00:00
1,Positif,sampoevrna,@twerpaqu ptm apa ga can,,2022-02-09 04:13:35+00:00
1,Positif,ssamuthinkers,"haloo moots, udah pada selesai ptm/pjj belum?",,2022-02-09 04:13:29+00:00
1,Positif,L100_ul,"kok sekolah ku masih ptm 100% zie, ya allah",,2022-02-09 04:12:57+00:00
1,Positif,molopage,"@schfess ptm, krna kalo pjj ngantuk",,2022-02-09 04:12:52+00:00
1,Positif,tiramiss__u,@mahedly dari ngumpet wkwkwkwk agak susah bagi waktu ya fren ptm :j,,2022-02-09 04:11:42+00:00
1,Positif,userrndomcoy,"@convomfs di roling seminggu' ,minggu ini pjj dlu mingdep ny ptm",,2022-02-09 04:11:38+00:00
1,Positif,jklcbys,"@schfess ptm lah, tp bisa ga si kalo pas ptm tu gausah ada ulangan sama tugas kelompok",,2022-02-09 04:11:37+00:00
1,Positif,sadbims,kta gua si ttp gak bakl ptm maret,,2022-02-09 04:11:31+00:00
1,Positif,cheeniekjd,@colorfulloey loh ptm?,,2022-02-09 04:11:09+00:00
1,Positif,wjoko568,"@ritafauzh saya bukan anggota ptm, saya  anggota pjj lagi bun 😭 salam dari pangkalan nguli 🙏",,2022-02-09 04:10:56+00:00
1,Positif,mxbdntae,"@itsmeceece udh dr minggu kemarin, minggu depan baru ptm lagi but... terbatas 😔",,2022-02-09 04:10:36+00:00
1,Positif,lvsashikiba,"@valen_28patata ptm , tokyo revengers",,2022-02-09 04:10:28+00:00
1,Positif,kthjjk0t7,"@schfess nggak ada , kalau ptm istirahat cuma 15 menit",,2022-02-09 04:09:49+00:00
1,Positif,NazaAsifa,"@schfess ptm si karena seru kgk bnyk tugas vidio yng membuat memo sya penuh🗿 sya yng sekolah udah full aja masi belum kenal semua nama"" temen sya gimana pjj mungkin kgk afal semua nya 🗿 and kalau pjj jg kgk ada mapel yng masuk otak🤣",,2022-02-09 04:09:25+00:00
1,Positif,jaeshyunwfe,@nandwi5 klo ak ptm terbatas ueue,,2022-02-09 04:09:09+00:00
1,Positif,tontawine,ptm kok kaya lama bgt yh waktunya,,2022-02-09 04:09:08+00:00
1,Positif,hanratheloo,"padahal ptm tp masih aja ada tugas asu, mana banyak bgt lagi",,2022-02-09 04:08:53+00:00
1,Positif,vhopekooki,eh kok ptm maksudnya daring 😩😩,,2022-02-09 04:08:45+00:00
1,Positif,cherrlyh,@cyjkuromi iyaa sesuai mood hshs. kalau ptm bisa dapat uang jajann,,2022-02-09 04:08:24+00:00
1,Positif,vlastqian,@bymonrouge lsbdkebrbrkrnkrkrkr ptm gust,,2022-02-09 04:08:03+00:00
1,Positif,vhopekooki,ini tuh udh mulai ptm lgi ya?,,2022-02-09 04:07:16+00:00
1,Positif,terezure,@schfess ptm buat praktek 🙏🏻🙏🏻 kalau tugas mending pjj soalnya ya kalau ptm di buat nugas abis waktunya 🙏🏻🙏🏻🙏🏻,,2022-02-09 04:06:39+00:00
1,Positif,lvnlrnnn,"@cyjkuromi aaaa iya bener capee, aku udah enak daring jadi kaya males klo disuruh ptm 😭",,2022-02-09 04:05:54+00:00
1,Positif,GPpresidenku,ganjar pranowo minta ptm mengikuti kebijakan level daerah . . #ganjarpranowo #ganjar #ganjaruntukindonesia #ganjarpedia #ganjarku #jatenggayeng jateng #wadasmelawan wadas @ganjarpranowo #kerjabarengganjar #beritaganjar,,2022-02-09 04:05:49+00:00
1,Positif,AgusHarimurti16,"kejar ptm 100 persen, bin lakukan vaksinasi pelajar di min 1 kuala tungkal",,2022-02-09 04:04:40+00:00
1,Positif,noworneverae,mau ptm juga,,2022-02-09 04:04:31+00:00
1,Positif,hrjcrush,"@schfess ptm. soalnya lebih produktif aja gituu, trs lebih ngerti materi juga krn dijelasin langsung dan bisa nanya nanya langsung ke guru kalo ga paham materi. tapi pjj juga enak sii lebih fokus belajarnya",,2022-02-09 04:04:19+00:00
