Username,Content,Location,Created at
xojolx,semoga sekolahnya ptm terus,"Kota Bandung, Jawa Barat",2022-01-01 13:17:18+00:00
ka3_16ka,selama ptm ini gue bener2 jarang banget belajarnya,,2022-01-01 13:15:23+00:00
mayesyii,kasus covid 19 melonjak pemerintah minta masyarakat jaga prokes ptm ,,2022-01-01 13:13:15+00:00
naylaberkah,ptm lagi ptm lagi,Batam,2022-01-01 13:11:06+00:00
nabillaSN24,"kasus covid19 melonjak, masyarakat mengurangi aktivitas keramaian proses ptm",,2022-01-01 13:10:35+00:00
garin_bigwin01,ptm lagi ptm lagi,"DKI Jakarta, Indonesia",2022-01-01 13:08:09+00:00
5dona2,"kasus covid19 melonjak, masyarakat mengurangi aktivitas keramaian proses ptm",,2022-01-01 13:05:44+00:00
sansjjong,ya allah pengen pembelajaran tatap muka,,
SpsIPB, anak perlu belajar disiplin prokes selama sekolah ptm,,
gwonfire,"kasus covid19 melonjak, masyarakat mengurangi aktivitas keramaian proses ptm",,
795jimin,semoga sekolahnya ptm terus,,
yuktannn,selama ptm ini gue bener2 jarang banget belajarnya,,
efectsguinho,kasus covid 19 melonjak pemerintah minta masyarakat jaga prokes ptm ,,
fjmejia100,ptm lagi ptm lagi,,
vhopeangels_,lebih seru ptm sih,,
Mashee0108,pembelajaran tatap muka pasti seru,,
KelSukapura1,diharapkan pemerintah evaluasi pembelajaran tatap muka,,
KelSukapura1,di sekolahku kalau ada anak yang kena covid yang pjj cuma satu kelas yang ada anak kena covidnya itu doang,,
angelcidios,kok malah ptm padahal muridnya banyak yang positif,,
kangandribdg,sekolah masih mengusahakan untuk tetep ptm,,
koortante,"cape depan laptop, pembelajaran tatap muka aja",,
balerriatajjj,"kangen sekolah, pengen pembelajaran tatap muka",,
_yunisaputri,lebih seru pembelajaran tatap muka sih,,
atesauce,diharapkan pemerintah evaluasi ptm,,
TimeGarhi,"belum ada yg covid, masih tetep ptm",,
angeljimenez09,tetap jaga protokol kesehatan walaupun ptm,,
TimeGarhi, anak perlu belajar disiplin prokes selama sekolah ptm,,
dxsunshine_,"kasus covid19 melonjak, masyarakat mengurangi aktivitas keramaian proses ptm",,
IforJolie,semoga sekolahnya ptm terus,,
kayraaaazz,selama ptm ini gue bener2 jarang banget belajarnya,,
renato_ptm,kasus covid 19 melonjak pemerintah minta masyarakat jaga prokes ptm ,,
Manuel37706347,ptm lagi ptm lagi,,
aisgurimumiruku,takut pembelajaran tatap muka,,
jenspzt,pembelajaran tatap muka pasti seru,,
serotonITZY,tetap jaga protokol kesehatan walaupun ptm,,
gwenoisy,sumpah takut banget ptm anjir,,
nexusdeux,"besok ptm gimana, takut",,
iS2mnji,"takut banget PTM, banyak yang covid",,
urmyyohan,gak sabar pembelajaran tatap muka terbatas,,
KangSirmadji,sedih pembelajaran tatap muka  diberhentikan ,,
voidotid,pembelajaran tatap muka terserah deh ,,
nadaliciasihna,"seru ptm, ketemu temen",,
jawapos,ptm pasti seru,,
Chrs49937622,pembelajaran tatap muka dihentikan sementara,,
aleaaiueol,pertemuan secara tatap muka itu sangat asik,,
antoniohamsun,kata ayah mending ptm,,
rekha35609163,pjj terlalu nyantai,,
kinnx__,PTM karena lebih banyak interaksinya,,
kunlaluv,capek ptm rabu,,
KimBoisIlakes,mending pjj aja ,,
arcticigaretts,"karena covid lagi, saya sih menunggu kabar pembelajaran tatap muka dihentikan wkwk",,
Aku_MohArwani,ptm ngantuk banget,,
henyper,"TAKUT pembelajaran tatap muka,,,,,,, takut ada covid",,
snflwrly_,sedih anjir sekolah kami terpaksa menghentikan aktivitas pembelajaran tatap muka,,
kissbumblee,angkat tangan yang niat ptm,,
aidalanuza71,jujur hari ini aku mood ptm,,
OxBigWin_777,anjir takut ptm,,
lvskenai,tetap jaga protokol kesehatan walaupun ptm,,
radarjogja, anak perlu belajar disiplin prokes selama sekolah ptm,,
CTAEQXL,"kasus covid19 melonjak, masyarakat mengurangi aktivitas keramaian proses ptm",,
Ruqijan,pembelajaran tatap muka pasti seru,,
BabyMcNugget,diharapkan pemerintah evaluasi pembelajaran tatap muka,,
stardnstheart,di sekolahku kalau ada anak yang kena covid yang pjj cuma satu kelas yang ada anak kena covidnya itu doang,,
SOLOPOSFM,kok malah ptm padahal muridnya banyak yang positif,,
Isti52863208,sekolah masih mengusahakan untuk tetep ptm,,
gupikhaobb,"cape depan laptop, pembelajaran tatap muka aja",,
abrahamfirdaus,"kangen sekolah, pengen pembelajaran tatap muka",,
nctdoyouung,lebih seru pembelajaran tatap muka sih,,
Delxzz_,diharapkan pemerintah evaluasi ptm,,
SupriaSupriadi,"belum ada yg covid, masih tetep ptm",,
kissbumblee,tetap jaga protokol kesehatan walaupun ptm,,
yoonginistagay,anak perlu belajar disiplin prokes selama sekolah ptm,,
camillaaaa_,orang tua murid sekolahku setuju ptm meski kasus covid naik,,
