Username,Content,Created at
evcrlove,sejumlah pelajar terpapar covid-19 meningkat,2022-08-01 23:22:23+00:50
Sing_JembarHate,orang tua tidak percaya ptm meski ada vaksin,2022-08-01 23:22:23+00:51
muhamadsangidu2,ptm jalan terus wkwkw,2022-08-01 23:22:23+00:52
liewandie,"puluhan siswa sekolah saya omicron, saya takut pak",2022-08-01 23:22:23+00:53
BandungTV38,evaluasi pelaksanaan covid mulai ditutup,2022-08-01 23:22:23+00:54
asetianegara,varian omicron mengharuskan kita untuk pjj,2022-08-01 23:22:23+00:55
galerifitri,pemerintah genjot vaksinasi booster dan hentikan ptm,2022-08-01 23:22:23+00:56
Anggita_lung,pemerintah genjot vaksinasi booster dan hentikan ptm,2022-08-01 23:22:23+00:57
bluexx_17,pemerintah genjot vaksinasi booster dan hentikan ptm,2022-08-01 23:22:23+00:58
Anggita_lung,saat ptm harus menerapkan prokes ,2022-08-01 23:22:23+00:59
hmcm_,pemerintah blitar hentikan ptm ,2022-08-01 23:22:23+00:60
Anggita_lung,nadiem terbitkan edaran stop sementara ptm,2022-08-01 23:22:23+00:61
galerifitri,orang tua siswa setuju ptm,2022-08-01 23:22:23+00:62
dithajpg,"jika ada kasus omicron, sekolah wajib stop ptm",2022-08-01 23:22:23+00:63
earthmrg,"ya allah, baru aja pembelajaran tatap muka jalan udah pjj lagi",2022-08-01 23:22:23+00:64
Yahoo_ID,gapapa pjj,2022-08-01 23:22:23+00:65
Sing_JembarHate,orang tua di sekolahku tidak setuju ptm,2022-08-01 23:22:23+00:66
muhamadsangidu2,mohon izin… saya malas ptm,2022-08-01 23:22:23+00:67
