,Username,Content,Location,Created at,Month
46,junggwoni,ehhh serius nih agak kaget wkek jadi pas masa promosi ptm kemaren gue up beberapa vid tiktok gaje bgt cuma foto doang dipakein sound ptm. terus app nya gue apus kan. terus barusan gue dw lagi app tt dan ada satu vid yg likenya lumayan wkwk,낙원,2022-01-01 10:26:45+00:00,
47,papoiibear,@detikcom ptm aja masih 100% gk heran lah,Jakarta,2022-01-01 09:44:28+00:00,
48,NTX24,"agen travel di kab.natuna ptm. cakra indika tour &amp; travel (jl. imam ismail kel. ranai, 29783) #travel #natuna",exactly Natuna,2022-01-01 09:39:53+00:00,
49,szszzszzs,ptm kena mental,###,2022-01-01 09:24:51+00:00,
50,sansjjong,la carita de wooyo y hwa ptm,,2022-01-01 09:19:49+00:00,
51,HINDUTVADI108,@ani pappu ki ptm ....but mummy kaam se bahar gayi hui hai,,2022-01-01 09:12:01+00:00,
52,hereissun,spa yg udh full ptm ttapi tetap banyak pr? syyyy blom mingdep full presentasi hdh smangat ol,she/her,2022-01-01 09:08:53+00:00,
53,OxAugust_1st,"hasil rapat barusan,mmbhas ttg *persetujuan ortu u/ ptm *tata tertib sekolah *pembentukan paguyuban kelas *seragam lengkap (almamater,rompi,batik,muslim, olhraga) 750rb+atribut 50rb total 800rb  wali murid yg lain mah slse rapat lgsg k koprsi buat beli seragam,aku mah blum ada","Sukabumi, Indonesia",2022-01-01 09:06:44+00:00,
54,ljndracs,"@asrhimp nanti pas ptm kamu datengin duluan aja kek ""eh boleh temenan gaa? bareng yuk nanti."" works 100% ril",,2022-01-01 09:04:30+00:00,
55,Lyaxh_,@lourdesfrdz 👩‍🦲 ptm ajaksjakskal,,2022-01-01 09:03:18+00:00,
56,jagapatidotcom,"mulai ngerasa ptm 50% adalah kunci, ga? 😅  (4/4)",Jakarta,2022-01-01 09:00:12+00:00,
57,jagapatidotcom,"saat ini ptm dibatasi jadi 50% sampai seluruh siswa dinyatakan negatif 👍  kalau lihat jangka waktu yang dikasih kemendikbud sih cuma 5-7 hari pjj. tapi, pastinya akan disesuain sama keadaan juga.  (3/4)",Jakarta,2022-01-01 09:00:12+00:00,
58,Ranjhaaa87,@jo_khxn lekin ptm tu khud bahir se funding pe chaaal rhi,,2022-01-01 08:57:26+00:00,
59,tassyaapr,"@vousmesyf aku udh mikirin mau ngasih apa ya ke si ibu pj ptm, soalnya aku nyusahin🙂",,2022-01-01 08:55:42+00:00,
60,Chrs49937622,@cp_1969 @profesorzubairi saya kurang setuju si jika tingkat kematian pun perlahan naik jika tetap ptm kesian dong murid nya kesiksa covid temen saya kena covid berasa pengen mati aja kesiksa dari pada hidup tapi kayak mau mati dan g akan lagi lagi juga sekolah bakal di tutup jika ada  yang g stju sngtbdh,,2022-01-01 08:55:11+00:00,
61,setengahlandak,demiape ilpol ptm 100% nangis aja gua,,2022-01-01 08:46:47+00:00,
62,angelcidios,ptm angek progaovorroro,14 / she,2022-01-01 08:36:45+00:00,
63,kangandribdg,kemendikbudristek terbitkan se baru panduan ptm di masa pandemi covid-19,"Bandung, Indonesia",2022-01-01 07:55:48+00:00,
64,koortante,@esquizofrenya tmb ptm,(-_-メ) only bts : 17 ! her #,2022-01-01 07:51:58+00:00,
65,balerriatajjj,@_ariorozco haksjaksk ptm yoooo,,2022-01-01 07:27:37+00:00,
66,_yunisaputri,horee mingdep ptm lagi gue bisa kerja dengan tenang.,,2022-01-01 07:19:14+00:00,
67,atesauce,oh ternyata i miss ptm i miss sautan eh cete dong cete dong pas ulangan (cete keliling),she 17 ,2022-01-01 07:05:47+00:00,
68,TimeGarhi,@noorullah_ptm go afghani mahajer go,,2022-01-01 07:03:36+00:00,
69,angeljimenez09,ptm angel,,2022-01-01 07:01:16+00:00,
70,TimeGarhi,@noorullah_ptm pakistan 🇵🇰 zinda bad,,2022-01-01 06:58:59+00:00,
71,dxsunshine_,"orbit. lumayan bgt dipake sama 4 orang soalnya. kalo adek gue udh ptm gini irit, pas kmrn pjj allahuakbar blm ada 2 minggu udh abis t__t","Jakarta, Indonesia",2022-01-01 06:38:08+00:00,
72,ranichq,kangen serkel ptm 9a,,2022-01-01 06:23:31+00:00,
73,LalitoCrickoso,@jancacerola ptm jan jajaahha,Monterrey,2022-01-01 06:20:02+00:00,
74,nazeriey_naz,"@_farainaa next week br isi eho, ptm 5/9 masuk",*adaakukisah*,2022-01-01 06:12:43+00:00,
75,idntimes,"jika siswa sudah pulih, ptm 100 persen akan diberlakukan kembali",,2022-01-01 06:05:21+00:00,
76,IDNTimesBanten,"jika siswa sudah pulih, ptm 100 persen akan diberlakukan kembali","Banten, Indonesia",2022-01-01 06:00:02+00:00,
77,ianyangx2,@oodeinyourhouse @tttqliao ptm si ajakskdkjdbdbd,yo,2022-01-01 05:50:48+00:00,
78,edukasiborneo,"se 4 menteri terkait diskresi covid 19, jika siswa terpapar ptm pada rombel itu dihentikan bukan pada satuan pendidikan #ligainggrisdividio #mutasi #ps1 #saldokaget #spongebob #gubernur #tasyaxtrafarasya #baddecisionswithbts",,2022-01-01 05:47:48+00:00,
79,melanieroaa,@nicollecarrille ptm zi,Lima- Perú,2022-01-01 05:47:26+00:00,
80,daldalkomhan,"kok dinilai kurang? dan jg itu lu udh sklh online kmrn2 mengembangkan sarana teknologi buat apa pas ptm ini balik lg kyk jaman jadul penjajahan hah? ngapain balik ke yg jadul lg disaat luar negeri aja udh mau maju, dan lu msh komplain knp indonesia gk ikutan maju? ya krn-",,2022-01-01 05:42:27+00:00,
81,hopeikrv,stream ptm stream,Only Army இ,2022-01-01 04:35:48+00:00,
82,SpsIPB,"sehubungan dimulainya pembelajaran tatap muka (ptm) maka akan dibuka kembali pendaftaran program bpjs kolektif ipb bagi mahasiswa. untuk itu, kami menghimbau para mahasiswa untuk dapat memperbaharui *data asuransi kesehatan* pada sistem *student portal*",Kampus IPB Dramaga Bogor,2022-01-01 04:30:24+00:00,
83,gwonfire,ptm akfvakebakdbkakdkcv,,2022-01-01 04:24:42+00:00,
84,795jimin,jk * ptm,only bangtan 🇸🇻,2022-01-01 04:23:27+00:00,
85,yuktannn,ptm hehe ptm nangis aja,she/her,2022-01-01 04:22:27+00:00,
86,efectsguinho,nmrl ta perfeita ptm,ຊ,2022-01-01 04:07:13+00:00,
87,fjmejia100,@stefssalazar sho tefy ptm.,Con Tu Mujer,2022-01-01 04:00:42+00:00,
88,vhopeangels_,ptm falta pocoxoxoxbskw  #baddecisions   #baddecisionswithbts  #bennyxbtsxsnoopdogg,,2022-01-01 03:48:29+00:00,
89,Mashee0108,@guessswhosbackk @alemans19 oeee ptm,,2022-01-01 03:46:18+00:00,
90,KelSukapura1,"giat monitoring pelaksanaan kegiatan ptm di slb-b sukapura  kamis, 04 agustus  2022 cc:  @ridwankamil @kangyanamulyana @pembdg @halo_bandung @kec_kircon @humasbandung_",,2022-01-01 03:44:56+00:00,
91,KelSukapura1,"giat monitoring pelaksanaan kegiatan ptm di slb-b sukapura  kamis, 04 agustus  2022 cc:  @ridwankamil @kangyanamulyana @sitimuntamah_oded @halobandung @pembdg @humas_bandung @bkpsdm.bdg @kec_kircon @melinasari20",,2022-01-01 03:44:03+00:00,
92,ly7cast,ptm ya casi #baddecisionswithbts,🇲🇽🇰🇷🇺🇸,2022-01-01 03:43:47+00:00,
93,Black94989606,@ihteshamafghan ptm=ttp,,2022-01-01 03:39:13+00:00,
94,dinkespati,"yuk datang &amp; ikuti pelayanan dinas kesehatan kabupaten pati pada ""pragolo pati festival 2022"" dari tgl 5 - 7 agustus 2022 di plaza pragolo pati stand no 7 dan 8. kami memberikan pelayanan posbindu ptm, gerai vaksin covid-19 dan kesempatan mendapatkan doorprize menarik.",,2022-01-01 03:30:39+00:00,
95,h0nderdProcent,i'm fucking crazy ahre ptm hdlshdksj,| Argentina | ✧,2022-01-01 03:18:46+00:00,
96,Sonaya79085379,@indrian950 ptm 100% sekolah diminta perketat prokes - indonesia negeri maju,,2022-01-01 03:17:46+00:00,
97,Sonaya79085379,indonesia negeri maju - ptm 100% sekolah diminta perketat prokes,,2022-01-01 03:12:05+00:00,
98,InfoTimlo,"ptm di boyolali aman, belum ditemukan kasus covid-19 di sekolah",Surakarta,2022-01-01 03:00:47+00:00,
99,timlovers,"ptm di boyolali aman, belum ditemukan kasus covid-19 di sekolah",Solo,2022-01-01 03:00:47+00:00,
100,kabartimlo,"ptm di boyolali aman, belum ditemukan kasus covid-19 di sekolah",Solo - Surakarta - Solo Raya,2022-01-01 03:00:47+00:00,
101,Gino7722,@salasz_aa @pedrocastillote fuji fuji fuji fuji fuji fuji fuji fuji fuji fuji fuji fuji fuji fuji fuji fuji fuji fuji fuji fuji fuji fuji fuji fuji la ptm,"Miami, FL",2022-01-01 02:55:36+00:00,
102,ranichq,lagi buka grup serkel ptm kls 9 astg mengkangen sangad,,2022-01-01 02:43:01+00:00,
103,IforJolie,"""que cursiiii"" jakshlaja tan linda ptm #hastaquelaplatanossepare",Mi casita 🏡,2022-01-01 02:12:36+00:00,
104,kayraaaazz,"karaoke se olivia, si ptm",Peru,2022-01-01 02:01:34+00:00,
105,renato_ptm,"@hafizh94151525 @puasa5tahun_ @realmadridindo1 bales dong bang, jangan hit n run","Jakarta Capital Region, Indone",2022-01-01 01:52:29+00:00,
106,Manuel37706347,@unchasqui @congresoperu ptm la kagada,,2022-01-01 01:42:20+00:00,
107,aisgurimumiruku,@arctlcm0nk3ys aku on di priv beb sksksks males disiniii apalagi udah ptm full 😍,he/they,2022-01-01 01:34:26+00:00,
108,jenspzt,no pongan spoilers ptm  #inmuneensurvivor,México✈,2022-01-01 01:28:25+00:00,
109,serotonITZY,ptm laksmmenfnx😭🤣,2NE1 4EVER ♤ • ♡ITZY.APINK.DC♡,2022-01-01 01:26:25+00:00,
110,jaeminmbul,temenku banyak bgt yg kena covid😢 ak ptm sendirian huhuhu,pubrant - dns,2022-01-01 01:15:32+00:00,
111,sabqwn,@muhamma25077437 @zaidzamanhamid to muje ya zaid hamid sb ko ye bakwas kiun suna rahe ho ... me to us wakt se ptm ko indian backed janta ho jab tume pta b nhi hoga. shaksiyatprast tola jahil mutlaq .. kbi ikran niazi ko quied kbi kisi tattoo tery sahafi ko bap manty ho apni opinion ha nhi tumhari,,2022-01-01 01:14:12+00:00,
112,Anticristo_03,@_saturno_3 ptm satur 🤣,"Tampico, Tamaulipas",2022-01-01 01:11:09+00:00,
113,kalderanews,"diskresi ptm dihentikan 5-7 hari, inilah isi lengkap surat edaran kemendikbudristek tersebut -",Jakarta,2022-01-01 01:00:56+00:00,
114,Moni_Sofy,ptm ya,,2022-01-01 01:00:35+00:00,
115,sabercomo,"@flipoescudero @pedrocastillote ptm, ki wuina.",Perú🇵🇪,2022-01-01 00:56:26+00:00,
116,kaarlagomez,@giovanna__lopez ptm ya giovanna,,2022-01-01 00:45:00+00:00,
117,heesuueng,@sunghooj syukur paradoxxx invasion ini banyak yang ikutan..ga kaya ptm,"SND, The Archer.",2022-01-01 00:23:32+00:00,
118,rcklsnd,citara   ptm taehyung sos re hermoso i vote #v of @bts_twt for #audacyaots,br acc ,2022-01-01 00:18:30+00:00,
119,rcklsnd,trompeta   ptm taehyung sos re hermoso i vote #v of @bts_twt for #audacyaots,br acc ,2022-01-01 00:12:41+00:00,
120,simplyheraa,"yaallah mimpi ketemu enhypen, trs karaokean lagu ptm 😩",she/her,2022-01-05 23:48:02+00:00,
121,0xbigwinnwin,yeyy ptm sekolah nya,,2022-01-05 23:07:34+00:00,
122,jenoleetweets,kenapa giliran gua yang ptm anak ganjil kebagian kampus visit 😭😭,Bikini bottom,2022-01-05 23:00:44+00:00,
123,hanbasade,porfa yg no seas malo ptm,skz • tøp • bp,2022-01-05 23:00:12+00:00,
124,osakiishotaroo,padahal udah semangat banget ptm full teruss dan eskul radio jalann 🥲,pfp @wengwengchim,2022-01-05 22:49:54+00:00,
125,ljndracs,@asrhimp kamu belom ptm ya??,,2022-01-05 22:46:28+00:00,
126,ljndracs,mau ptm malah kebelet ee,,2022-01-05 22:39:48+00:00,
127,frikitonx,@milanentuiter @mono_hereje @olijerico @verdeembeleso @titowankalaw ptm bettercalltitowank,,2022-01-05 22:33:55+00:00,
128,jungkookpijon,esp yoongi ptm tr amo,JJK1,2022-01-05 22:11:43+00:00,
129,inka_koola,@ilvskoo__ kskwkkdkwkkd juna wbd ptm,Bts paved the way for all,2022-01-05 20:50:15+00:00,
130,ljndracs,aaaa hr ini ptm mana langsung healthy day main basket arrrghh,,2022-01-05 20:24:15+00:00,
131,taeginime,pronto joseph quinn tmb sdq ptm mis spiderboys,SHE%THEY              Munson ♡,2022-01-05 19:59:57+00:00,
132,nadeemrazaSh,@noorullah_ptm ap khud hi,"لاہور, پاکستان",2022-01-05 19:48:57+00:00,
133,SuperstarGay_,jaks ptm ari,▦ ﹒ ☆ 🔌 🛒 ⸒ 별 ꜝ    ﹫,2022-01-05 19:48:09+00:00,
134,k_krahul,"@shahzaib0511 @bhaigonzer @watan_parwar @khan_khan2048 @javerias @imrankhanpti @nawazsharifmns sir, ye aapke pti-pdm ki ladai me hamare modiji ko beech me na layein. modiji ne pti/ptm ka kya bigada hai ?","Kerala, India",2022-01-05 19:35:11+00:00,
135,dod6ie,ptm minjeong ya sal,❤️‍🔥,2022-01-05 19:32:00+00:00,
136,kissbumblee,@jjeon_jk07 ptm nik,"Lima, Peru",2022-01-05 19:31:43+00:00,
137,churi_1,@absolutemirai ptm ajsjajjs,,2022-01-05 18:08:59+00:00,
138,ingriddm21,pk hoyyyyyy ptm,"Nuevo Laredo, Tamaulipas",2022-01-05 17:57:57+00:00,
139,ShJ41447833,@voiceof_ptm qurban,"Quetta, Pakistan",2022-01-05 17:43:35+00:00,
140,_tanya_drdz,11:11 ptm acha jye pls 🫠,Blue family,2022-01-05 17:41:31+00:00,
141,pingaIover,aksjak ptm😭,req: ok,2022-01-05 17:30:39+00:00,
142,KitaKanbicara,"revisi tugas abn (di lampiran bukti, kasi bukti foto bukan link video) - rela berkorban jadi anggota panitia dd ptm, tapi ga ikut foto :(  revisi rabn (belum isi kolom waktu, tempat, bukti)  revisi puisi (isinya berisi 5 nilai bn, pake backsound suara, dan background video)",,2022-01-05 17:15:41+00:00,
143,nbiebs36,jakakaaj ptm,,2022-01-05 17:02:16+00:00,
144,RAJA93859503,@noorullah_ptm ya allah 🤲 ta wazir saab ra khalas kry pe khpl qudrat,,2022-01-05 16:42:42+00:00,
145,YAHYAKH87438168,@azeemalifsd @rahimdwr baye jan is me 60% ptm k bande hi ha,,2022-01-05 16:37:33+00:00,
146,Sagarika_Shakhi,@karanvirsharma9 @vinodbachchan hieeee bhaiyaaaaaa 🥺❤️ ptm hone wali h meri thodi best wishes dedo taki thoda papa se kam dhant pade 😔🥺😂   papa ka khwab is real 😒🥺👉👈,India,2022-01-05 16:35:05+00:00,
147,7m49w1do5yuqwmn,"besok sekolah ptm sehari doang sampe jam 10, hope there will no pjj anymore and semua orang sehaatt-!! aamiin🦾😋",,2022-01-05 16:32:14+00:00,
148,SalmanA81304441,@noorullah_ptm allah di khpal karam oki.,,2022-01-05 16:10:43+00:00,
149,AdeelAdal1,@itx_annii ptm say,,2022-01-05 15:55:42+00:00,
150,Marcepau3,pero dame el and more yaaaaa ptm iahdksbdns,,2022-01-05 15:46:03+00:00,
151,Mugniar,perkuat daya tahan tubuh anak untuk hadapi ptm,Makassar,2022-01-05 15:35:12+00:00,
152,mediaindonesia,sebelumnya sekolah ini sempat memberlakukan pembelajaran jarak jauh (pjj) 100 persen. #mediaindonesia #referenisbangsa  sumber:,Jakarta - Indonesia,2022-01-05 15:30:00+00:00,
153,jamettapikece,jiakhh bsk ptm lg hdhh,sedang pindah alam ,2022-01-05 15:19:34+00:00,
154,007ramkaushik,@meenus pehle pata hota ki aap teacher ho to bachho ko apke school me hi admission kara deta. kam se kam ptm me to apke darshan hote,delhi,2022-01-05 15:10:21+00:00,
155,99torresangel,ptm yg me tienes hasta la verga,,2022-01-05 15:01:27+00:00,
156,ShahidK01648323,@rasheedrsdkn59 @naqeebmsd1 @noorullah_ptm mera khoon pakistani he🇵🇰❤,,2022-01-05 14:56:48+00:00,
157,lovesickaig,ptm kang taehyun,hueningkai ◜‿◝,2022-01-05 14:50:35+00:00,
158,xyttnx,@znyfdzz ptm hahahaha si soy,,2022-01-05 14:41:41+00:00,
159,ahenngf,gue udah senang ptm ya anjing,kepo = masuk neraka,2022-01-05 14:40:13+00:00,
160,gupikhaobb,tapi kan bila result ptm siri kami ni mau keluar,she/her,2022-01-05 14:19:50+00:00,
161,manusyakuattttt,"@convomf pas baru semingguan ptm 100%, dia ngikutin aku terus ke manapun aku pergi. terus temenku mergokin kalo dia liatin ak terus. ak kira dia suka sm ak, keknya dia cm iseng aja soalnya tdi dia jadian sama anak kelas lain. tp mrk udh putus si",rant acc,2022-01-05 14:08:05+00:00,
162,geeloaktwt,@wlwboukai eh kenapa kok gw bilangnya ptm anjing maksud gw uas. dah setengah sadar sampe salah ngomong,ask for carrd or no fb,2022-01-05 14:02:18+00:00,
163,geeloaktwt,@wlwboukai gw habis ptm langsung semester baru lagi 😁🔪,ask for carrd or no fb,2022-01-05 14:01:04+00:00,
164,WLWBOUKAI,@geeloaktwt selamat ptm,"꒰ he / they / fae / it +  neos ⚢ ꒱
15∞ tme seasian ☆ rentry byf ☆ sys host
jjba ♡ fkmt ♡ lupin iii ♡ gk ♡ yuzuru hanyu",2022-01-05 13:51:54+00:00,
165,AKFelicia,"@profesorzubairi masalah sekolah gimana ini 😭 dipaksa masuk dan ada makan bersama di tempat yg kurang ventilasi. deg2an tiap hari. udah bertahan 2,5 thn aman, anak masuk 3 hari ptm hari ke4 demam tinggi 😭 sudah isoman lewat dr 10 hari pun masih bergejala krn ada penyakit bawaan. sedih 💔😔",,2022-01-05 13:38:16+00:00,
166,Philip42779661,@pocolee_ #boomplay ptm 7069261510 philip taiye jeremiah stanbic bank. thanks boss,,2022-01-05 13:33:26+00:00,
167,Baaz_aa_Ch,@aam_si_larki ik  dfa mery walid sab ptm my gaye or miss ny mjy bula lia    us wat mery baal bry thy    bs phir kya tha idhr mery achy grades udr baalon py dant,Aap k ❤ my,2022-01-05 13:16:45+00:00,
168,palvgue,me provocaron makis ptm uwu,"Lima, Peru",2022-01-05 12:58:50+00:00,
169,royalsseu,"@ciyaayyy iyaa, sibuk bgt pls karna udh ptm😵😭",ig : royals.seu,2022-01-05 12:58:10+00:00,
170,Yossyro1,ptm perdi mi cangurera 🤬🤬,Veracruz,2022-01-05 12:46:57+00:00,
171,Pakhtun_Rooz,@kam2wazir @noorullah_ptm @manzoorpashteen @attawazir86 kea howa hai bro,"Islamabad, Swabi ",2022-01-05 12:46:42+00:00,
172,nexusdeux,"@birdsongrass penasarn juga hbs credit scene yg ptm itu :"""""" mana ak nek ntn biasane weekday di jam terakhirrr lg 😭😭",,2022-01-05 12:20:47+00:00,
173,gwenoisy,"tetap semangat besok ptm, walaupun banyak hal yg ga bikin nyaman di sekolah.",,2022-01-05 12:17:42+00:00,
174,nexusdeux,@birdsongrass dr yg ptm lbh horor atau lbh jump scare ndah?,,2022-01-05 12:16:33+00:00,
175,iS2mnji,@enhypen_members ptm heeseung,"Wonyo, minji y BIBI mias",2022-01-05 11:56:21+00:00,
176,urmyyohan,"@convomf nggak punya crush, tp ada 1 cowk sekelas gw yg se ekskul jg. gw ama dia itu baru pertma kali ketemu pas kls 8 krn ptm. gw emg udh tau namanya dia sejak sd, tp gk kenal dan baru pertama kali liat mukanya ya pas kls 8 itu. tapi kok dia kek musuhin aku gt, trus akhir² ini -",,2022-01-05 11:55:17+00:00,
177,KangSirmadji,"ada aturan baru soal ptm, ning kaka minta dispendik masifkan sosialisasi se mendikbudristek no 7/2022","Malang, Jawa Timur",2022-01-05 11:52:03+00:00,
178,voidotid,"""untuk 23 murid yang terpapar covid-19 mereka masih mengikuti sekolah secara online,""",Indonesia,2022-01-05 11:27:02+00:00,
