Username,Content,Location,Created at
xojolx,semoga sekolahnya ptm terus,"Kota Bandung, Jawa Barat",2022-01-01 13:17:18+00:00
ka3_16ka,selama ptm ini gue bener2 jarang banget belajarnya,,2022-01-01 13:15:23+00:00
mayesyii,kasus covid 19 melonjak pemerintah minta masyarakat jaga prokes ptm ,,2022-01-01 13:13:15+00:00
naylaberkah,ptm lagi ptm lagi,Batam,2022-01-01 13:11:06+00:00
nabillaSN24,"kasus covid19 melonjak, masyarakat mengurangi aktivitas keramaian proses ptm",,2022-01-01 13:10:35+00:00
garin_bigwin01,ptm lagi ptm lagi,"DKI Jakarta, Indonesia",2022-01-01 13:08:09+00:00
5dona2,"kasus covid19 melonjak, masyarakat mengurangi aktivitas keramaian proses ptm",,2022-01-01 13:05:44+00:00
sansjjong,ya allah pengen pembelajaran tatap muka,,
HINDUTVADI108,"cape depan laptop, pembelajaran tatap muka aja",,
hereissun,"kangen sekolah, pengen pembelajaran tatap muka",,
OxAugust_1st,lebih seru pembelajaran tatap muka sih,,
ljndracs,diharapkan pemerintah evaluasi ptm,,
Lyaxh_,"belum ada yg covid, masih tetep ptm",,
jagapatidotcom,tetap jaga protokol kesehatan walaupun ptm,,
jagapatidotcom, anak perlu belajar disiplin prokes selama sekolah ptm,,
Ranjhaaa87,"kasus covid19 melonjak, masyarakat mengurangi aktivitas keramaian proses ptm",,
tassyaapr,semoga sekolahnya ptm terus,,
Chrs49937622,selama ptm ini gue bener2 jarang banget belajarnya,,
setengahlandak,kasus covid 19 melonjak pemerintah minta masyarakat jaga prokes ptm ,,
angelcidios,ptm lagi ptm lagi,,
kangandribdg,takut pembelajaran tatap muka,,
koortante,pembelajaran tatap muka pasti seru,,
balerriatajjj,tetap jaga protokol kesehatan walaupun ptm,,
_yunisaputri,,,
atesauce,,,
TimeGarhi,,,
angeljimenez09,,,
TimeGarhi,,,
dxsunshine_,,,
ranichq,,,
LalitoCrickoso,,,
nazeriey_naz,,,
idntimes,,,
IDNTimesBanten,,,
ianyangx2,,,
edukasiborneo,,,
melanieroaa,,,
daldalkomhan,,,
hopeikrv,,,
SpsIPB,,,
gwonfire,,,
795jimin,,,
yuktannn,,,
efectsguinho,,,
fjmejia100,,,
vhopeangels_,,,
Mashee0108,,,
KelSukapura1,,,
KelSukapura1,,,
ly7cast,,,
Black94989606,,,
dinkespati,,,
h0nderdProcent,,,
Sonaya79085379,,,
Sonaya79085379,,,
InfoTimlo,,,
timlovers,,,
kabartimlo,,,
Gino7722,,,
ranichq,,,
IforJolie,,,
kayraaaazz,,,
renato_ptm,,,
Manuel37706347,,,
aisgurimumiruku,,,
jenspzt,,,
serotonITZY,,,
jaeminmbul,,,
sabqwn,,,
Anticristo_03,,,
kalderanews,,,
Moni_Sofy,,,
sabercomo,,,
kaarlagomez,,,
heesuueng,,,
rcklsnd,,,
rcklsnd,,,
simplyheraa,,,
0xbigwinnwin,,,
jenoleetweets,,,
hanbasade,,,
osakiishotaroo,,,
ljndracs,,,
ljndracs,,,
frikitonx,,,
jungkookpijon,,,
inka_koola,,,
ljndracs,,,
taeginime,,,
nadeemrazaSh,,,
SuperstarGay_,,,
k_krahul,,,
dod6ie,,,
kissbumblee,,,
churi_1,,,
ingriddm21,,,
ShJ41447833,,,
_tanya_drdz,,,
pingaIover,,,
KitaKanbicara,,,
nbiebs36,,,
RAJA93859503,,,
YAHYAKH87438168,,,
Sagarika_Shakhi,,,
7m49w1do5yuqwmn,,,
SalmanA81304441,,,
AdeelAdal1,,,
Marcepau3,,,
Mugniar,,,
mediaindonesia,,,
jamettapikece,,,
007ramkaushik,,,
99torresangel,,,
ShahidK01648323,,,
lovesickaig,,,
xyttnx,,,
ahenngf,,,
gupikhaobb,,,
manusyakuattttt,,,
geeloaktwt,,,
geeloaktwt,,,
WLWBOUKAI,,,
AKFelicia,,,
Philip42779661,,,
Baaz_aa_Ch,,,
palvgue,,,
royalsseu,,,
Yossyro1,,,
Pakhtun_Rooz,,,
nexusdeux,,,
gwenoisy,,,
nexusdeux,,,
iS2mnji,,,
urmyyohan,,,
KangSirmadji,,,
voidotid,,,
nadaliciasihna,,,
jawapos,,,
Chrs49937622,,,
aleaaiueol,,,
antoniohamsun,,,
rekha35609163,,,
kinnx__,,,
kunlaluv,,,
KimBoisIlakes,,,
arcticigaretts,,,
aandreaani,,,
crushlici0us,,,
jzjhnnjlh,,,
iS2mnji,,,
anakmsebeth,,,
mediaindonesia,,,
2020Berita,,,
cintabitcoin,,,
SKHmemorandum,,,
anakmsebeth,,,
RSGaming41,,,
Shanghong20,,,
beyoutheefull,,,
Bosowa27,,,
MuradKh01757955,,,
myaeriselle,,,
ull50928990,,,
matakitaco,,,
RadioSmartFM,,,
beritacovid,,,
dotarakaaa,,,
okay_itsokayy,,,
kumparan,,,
bayussab,,,
astaad_234,,,
regisssga_,,,
Muhamma01601760,,,
kompascom,,,
NaseeB_Nasar_56,,,
dwikmahndr,,,
r1n_n1w,,,
avazquezzc,,,
chocormra,,,
BabyMcNugget,,,
stardnstheart,,,
SOLOPOSFM,,,
Isti52863208,,,
gupikhaobb,,,
abrahamfirdaus,,,
nctdoyouung,,,
Delxzz_,,,
SupriaSupriadi,,,
Aku_MohArwani,,,
henyper,,,
snflwrly_,,,
kissbumblee,,,
aidalanuza71,,,
OxBigWin_777,,,
lvskenai,,,
radarjogja,,,
CTAEQXL,,,
Ruqijan,,,
styayc,,,
jawapos,,,
Sonaya79085379,,,
anam_kuwox,,,
Sonaya79085379,,,
iniroseblekpink,,,
mauriciomtzz_,,,
kissbumblee,,,
kissbumblee,,,
kissbumblee,,,
