Username,Content,Created at
bluexx_17,pemerintah genjot vaksinasi booster dan hentikan ptm,
Anggita_lung,saat ptm harus menerapkan prokes ,
hmcm_,pemerintah blitar hentikan ptm ,
Anggita_lung,nadiem terbitkan edaran stop sementara ptm,
galerifitri,orang tua siswa setuju ptm,
dithajpg,"jika ada kasus omicron, sekolah wajib stop ptm",
earthmrg,"ya allah, baru aja pembelajaran tatap muka jalan udah pjj lagi",
Yahoo_ID,gapapa pjj,
alchraza,orang tua di sekolahku tidak setuju ptm,
earthmrg,mohon izin… saya malas ptm,
catatankaqihati,vaksin anak penting untuk mendukung penerapan pembelajaran tatap muka,
bakusexo,lomba menulis dengan tema malas ptm,
KangCendol_33,ptm dilanjutkan,
kalderanews,sma dan smk di blitar kembali menerapkan pembelajaran tatap muka,
itssnarahere,peretmuan tatap muka di blitar ditutup,
kennedyre04,pemprov jabar tak ragu stop ptm,
addy_az,"ya allah, baru aja pembelajaran tatap muka jalan udah pjj lagi",
nadjinax_,skolah ku tbtb daring krna covid makin naik. pdhal ud trbiasaa,
kimjetarp,temuan covid mendorong pemerintah jombang stop ptm,
TLamp_Htele,orang tua di kota kami resah karena pembelajaran tatap muka padahal lagi omicron,
ForeverRain7_,bagaimana nasib ptm? Wkwkw,
taaecherry,capek ptm takut omicron,
yevnaizone,capek ptm takut omicron,
vhopesg,capek ptm takut omicron,
kookieJeikei,ptm capek wkwk,
paowv_,"saya duga, yg tdk vaksin takut ptm",
beluPark1,adek w tetep ptm padahal muridnya ada yg covid,
nanamyun_,ptm tetap dilanjutkan,
chefsitoeno,ptm tetep dilanjutkan meski ditemukan omicron,
ancilla_space,ptm di medan dihentikan usai siswa dan guru positif covid-19,
raditakia,di kotaku belum ada berita kenaikan covid gt katanya masih aman jadi ptm,
evelthv,"ya allah, baru aja pembelajaran tatap muka jalan udah pjj lagi",
galerifitri,penyebaran covid 19 terus naik,
BudakGarut__,yuk jangan lupa patuhi prokes saat ptm,
switiesgurl,pembelajaran tatap muka asik padahal tapi jadi stop karena omicorn anjing,
gugilvkoo,omicron anjing,
Candelaharta,nadiem terbitkan edaran stop sementara ptm,
vanttette,nadiem terbitkan edaran stop sementara ptm,
AgusDMin_,pemerintah terbitkan edaran stop ptm,
