Content,Kategori
saya tidak pernah sih fanatik sama satu genre musik buat saya musik kalau bagus ya bagus saja tidak peduli apa genren,1
keren abisss belum ada tidak sih jersey yang pakai untuk ingat lahir buah genre musik,1
saya suka semua genre musik dari lagu metal sampai lagu dangdut,1
walau sudah dengar bagai genre musik metal tetap asik,1
genre musik itu seperti agama tidak ada yang salah,1
saya suka dengerin semua genre musik,1
banyak yang aku cinta musik tapi anti ke satu genre lawak,0
saya play musik punk bukan karena saya kotor badboy satanic dan bagai tapi saya emang suka genre nya malas saja denger,1
apa cuma saya yang follow danilla karena dia gokil tapi musik nya bukan genre saya bngt si,0
emang ya kpop bukan genre musik di indonesia seperti lebih puja kaya begitu heran sudah wkwk,0
saya tidak benci orangorangnya tapi cuma kurang suka sama genre musik saja selera musik orang itu bedabeda d,0
seperti saya harus mulai bisa nikmat genre musik ini,1
itu kan bukan hand sign metal itu hand sign fancy nya twice emang suka ikut nih genre musik lain sebel deh,0
kemarin untuk pertama kali tampil cara live bagai cukup kaget juga telah gebrak materi baru,1
kpop itu bukan orang yang gantengganteng kpop adalah buah genre musik korean pop dan itu masuk semua musik,1
baru tau ada genre musik yang nama city pop ena didenger pas lagi nyantai kasur tengah malam,1
kembali lagi masalah selera tapi saya di sini lebih mandang kalau kpop kembang masa iya gen sama,1
kalau saya suka musik seperti ada yang beda saja begitu sama genre musik lain,1
ajar dari nyanyi go internasional seperti ini mereka ingin jadi diri sendiri genre musik diri sen,1
mereka musik tuh bebas mereka suka eksperimen sama segala jenis musik seperti sweet chaos ini mereka n,1
kalau grup sudah punya trademark sound nya itu grup sudah bisa ambil porsiniche orang yang suka dengan genre musikny,0
semua kecuali harry si padahal harry bias saya wkwk tetapi yang emang gasama begitu genre musik nya,0
saya tipe orang yang bisa tidur dengarin musik genre apa asal volume kecil,1
jazz or pop saya hampir suka semua genre musik tapi jazz preferensi saya,1
genre musik seperti begini tuh aoa ih nama enak banget,1
kelas genre musik nya ubah jadi lagu lagu sadboi saya jadi ikut ikut mohon lagu lagu sadboi get out dari my head,0
saya ni lemah tang nama genre musik saja gila,0
bagi para musisi muda indonesia anda bisa tampil cara tunggal solo maupun grup bawa genre musik lintas,1
kalian bunuh,0
saya belum denger semua tetapi yang pertama dua tiga bukan genre musik saya,0
kenapa telinga ini sangat mudah terima musik yang baru di dengar dasar tidak punya idelisme nikmat genre musik saya poser,0
saya lihat dulu musik cocok sama genre saya apa tidak tapi biasa musik bakal pengaruh sama feel kita si,1
saya jadi uni itu okt tahun kemarin jadi sudah tahun alas kenapa jadi uni ptg bakat banget visual p,1
ya kalau isi otak saya dan apa yang saya jalanin beda sama kamu ya ya sudah bukan arti segala hal itu jatuh nya salah,0
yaaaa bagaimana lagi mau pindah genre apa pun tetap balik ke pop punk kayak tidak bisa deh paling sudah,1
bukan nikmat genre musik tentu sih tapi saya suka lagu lagu nirvana,1
telah saya hilang hasrat sama lagu kpop emang exo saja yang nyuguhin musik beda semua genre embat faaakkk i love them jadi much,1
betul musik jadi asa lebih variatif dan kaya improvisasi khusus untuk genre metal,1
padahal belum pas bahas genre musik saya sudah nethink bakal dipojokin yang kpopers tau tidak huhu i love kamu pak,1
genre musik banyak loh tidak cuma kpop tapi kenapa yang sindir kpop terus lama lama saya ngehype kosidahan saja d,0
dia unik paling kecil di antara member lain sering buat saya senyumsenyum gemes lihat ingin culik,1
yang buat putus jadi orang army v dengan segala talenta buat saya damai dengan keben,1
maju terus musik indonesia ami awards bakal langsung bentar lagi nominasi lintas genre dan bidang sudah,1
straykids selalu yaa genre lagu macem bgini cepat nyantol musik nya itu loh kecuali side effect tidak ngerti mala,0
pernah tidak genre musik kamu tidak suka temen kamu dan akhir kamu paksa dengerin musik mereka meski tidak suka saya tiap hari asw,0
yang saya senang dari atmosfer musik indonesia sekarang semua sudah bisa nikmatin apa genre atau scenenya atau apa,1
saya dengerin lagumusik tuh nyaman kuping saya saja tidak harus genre kpop terus atau western terus indienesia juga,1
saya bagai nikmat musik tanpa lihat genre boy with luv emang parah sih enak wkwkwk,1
dulu army memang benar ada emis di radio di seluruh dunia tidak kecuali us dan uk sering kali kami di,0
yang pasti genre musik yang gari milenial bukan rock atau metal,0
hampir semua genre musik sudah pernah coba ulik kecuali dangdut tidak tau kenapa belum dapet feeling nya saja begitu sama genre musik nya,0
genre musik tetap edm tetapi lirik deep semua bangsat,0
terracuni dengan genre musik jazz saya cintaaaaahhhhhh bingit,1
oke mungkin beberapa pilot sekarang anggap genre dangdut adalah musik yang kesal,0
i like it that super junior selalu take different path mulai dari musik video klip style genre selalu beda jadi,1
pengaruh ini genre musik buat mood naik turun,1
tetiba gliyengan tidak karuan di datengin emak ke kamar diputerin musik jazz genre favorit kita banget leeesssss adeemm ya allah,1
mana ada bukan genre musik yang suka ya ituitu saja,0
sampai sekarang konten anjing ini masih curi pulsa cuk asu anjing,0
entah apa yang rasuk mana kesel anjing itu mulu semua tempat tidak ada musik yang lain apa bgst,0
anjing memang itu orang kenapa bawa musik kpop si babi ingin kali kaya nya saya pukul pakai kitab kuning wkwk,0
anjing siapa sih setel musik jedung malam begini berisik cok,0
karena merch kata bukan karena musik iyaiyaiyaaa idol saya mah apa jual saja bisa nya tidak kaya idol kamu bak,0
anjing malah musik tidak jelas harap saya tiba hujan deras,0
saat denger musik remix di salah satu club wilayah kabupaten kok musik jadi kaya angkot dugem begini sih anjing,0
anjing siapa sih setel musik jedung malam begini berisik cok,0
entah apa yang rasuk mana kesel anjing itu mulu semua tempat tidak ada musik yang lain apa bgst,0
musisi bukan arti tidak bisa buat kopi makanya jadi musik senja tai anjing hahahhaa,0
anjing ne musik indonesia keren banget lama,1
dulu eug tidak nikmatin senja senji tai anjing pakai lagu fourtwnty dulu bagi saya cuma payung teduh satu satu mus,0
musik sih anjing yang bikin kesel,0
musik nya ganggu anjing,0
dia tidak tau seni tidak tau musik tidak tau yang nama kerja keras usaha cuma terima beres mau jadi apa idupnya anjing,0
kamu kira ini tempat konser anjing musik saja teroos,0
bilang tidak suka sama selera musik saya ujung kamu nikmatin juga kan anjing,0
ingin nang nang sambil play musik cepat ah alay saya anjing,0
anjing kamu doyan musik ginian,0
gilir saya lagi nganggur tidak ada acara apa tuh terus saja saya rebah sampai mampus gilir saya lagi kerja ada saja yang nga,0
hayo siapa yang bilang musik haram hayok maju sini anjing,0
jatuh cinta pada musik kalian tulus kalian sikap kalian saya suka semua asa tulus dan hangat buat,1
kalau tidak suka kpop tidak ush koar koar bacot ngomong begini saja bukan army tapi yang bilang billbo,0
jingan bagi army ini kenapa sih pada tidak terima kalau grup belah dapt nomor di bb sampai war segala sudah atuh,0
army pincut sama pribadi abang bangtan eh dapet bonus musik yang oke tampil bikin gemas bakat,1
tapi malam ini i tweet this as an army a fans of bts i really proud of who theyre right sekarang tiap hari semenjak,1
mohon itu padahal k army juga sudah sering ketemu bandara dan acara musik lain tapi kok ya masih rusuh seperti begitu,0
arab army ini semangat banget anjirrrrrr ada jeda sedikit fanchant diem sedikit tidak ada musik fanchant lagi musik doan,1
lepas toxicnya dunia fandom tidak bisa dipungkiri grup yang besar sekarang adalah usaha keras fans ny,1
musikmusik mereka itu kadanga bikin saya nang sampai kejer kadang bikin saya tertawa sambil jogetjoget,1
park jimin saya suka nya karena dia sangat tampan tidak hanya itu dia juga bakat tari gera tub,1
heran anjir sama mental kpopies julid teroossss stream seperti lagu fave kamu jangan bacot saja yaelah bilan,0
dulu army memang benar ada emis di radio di seluruh dunia tidak kecuali us dan uk sering kali kami di,0
army emang begitu suka nyerang fandom lain tapi tidak ngomongin fakta kalau bts sendiri tiap bikin musik nyalin sesuatu y,0
sama dengan gudang lagu dan konsep gugat ya udaah kpop isi saja bts army saja datang kembali sendiri bik,0
dan saya sudah gedeg banget mereka nyenggol sana nyenggol sini saya mau bacot saja tanpa ada sensor sensor begini y,0
yang lawak yang bacot anak musik juga bukan anjir tidak malu padahal army yang anak musik saja sudah nyuruh mereka berent,0
karena konsep musikamp mv mereka beda lagu enak dengar dan makna bagus mereka tulis lagu s,1
kenapa sih musik opening dbk terus terngiangngiang bagus banget,1
udahlah mas budiman bikin musik saja bagus kok,1
saya ngeidolain semua member hari karena mereka selain bisa main alat musik dan suara juga bagus,1
senang dech selalu punya tetangga kosan yang suara bagus anak seni musik akang teteh saya padamuu,1
dan kontrol mereka sama artistik kaya musik sama visual bagus bagus bagus banget,1
selera musik kamu bagus juga,1
meski kaya juga anti banget main kotor buat apa main kotor musik mereka bagus dan dampak kok,1
cakep pintar suara bagus pintar main alat musik rajin sholat bakti kepada orang tua loyal rajin tabung,1
orang selalu mengagap kalau playlist lagu mereka yang paling bagus dan yang lain tidak punya selera musik padahal,0
gila sih ini orang kalau rilis lagu selalu bagus dan nyentuh mau nada melody musik bahkan suara dia satu padu jadi,1
sudah itu saja yang masuk selera musik ku si jaehyun jaehyun ini sudah ganteng selera musik juga bagus banget,1
saya heran dia multitalen nyanyi voice high voice low main alat musik acting cooking badan juga bagus turut saya,1
tampan ngemong pandai masak selera musik bagus mungkin mau nambahin,1
sempet berfikir kenapa maruk banget jadi orang sudah cakep kulit bagus jari indah suara bagus jago musik kitaaaaaa,1
dengar musik favorit antara jam sd pagi bisa naik mood bagus,1
contoh musik bagus yang jadi jele gara fansnya,0
nonton channel musik live paling bagus kalau tidak musik mana ya inspirasimusik,1
sering saja musik tiba mati biar semua orang tau ya tuhan livenya bagus dan bisa lanjut biarpun mr mati,1
sebenernya selera musik ayah saya itu bagus untuk ukur bapak yang dulu muda tinggal di bukit sipirok tapi,1
somehow saya capek jadi orang yang sedikit ngerti musik talking shit like a superior as if kamu only have untuk listen,0
kpop explained bagus banget harus musik indonesia juga bisa,1
ko acara televisi tidak ada yang bagus ya dengrin musik dulu akhh untuk tani rasa bete saya,0
dan satu lagi orang jahat adalah orang baik yang sakit seperti tidak sinkron dengan alur cerita apa yang,0
dengerin musik cepat sambil sebat dan ngebeer tapi jangan contoh ya yang kurang bagus,1
haha selamat selera musik anda bagus,1
saya tidak pernah sih fanatik sama satu genre musik buat saya musik kalau bagus ya bagus saja tidak peduli apa genren,1
musik sekarang bebas dan nikmat musik bisa pilih musik tanpa ada patok standar kadang kangen juga mana,1
chenle bisa main alat musik sendiri suara sudah bagus sudah pernah konser sendiri apalagiiii yang kurang,1
dulu pas kecil suka banget nonton acara musik di televisi mtv ampuh paling juara sih dulu dulu lagu juga pada bagus ba,1
hobi makan oci ini masuk cewek dengan napsu makan yang luar biasa tapi heran badan tetap saja bagus tidak,1
lagu charlie putih yang ceathing on kamu musik nya bagus banget deh,1
lari sambil dengar musik nyata dapat bawa manfaat bagi tubuh lho healthy people selain dapat membu,1
lantun irama musik dari barang rongsok bagus tidak bagus asyik tidak asyik kita paksa harus dengar musik itu,0
iya dah musik jaman sekarang sampah monoton semua paling bagus lingsir wengi,0
dari synchronize fest saya makin yakin kalau bandband masa lalu punya lagulagu dan musik yang amat bagus meski,1
senang dan bangga lihat kembang musik indonesia yang makin bagus banget banget sekarang keep the best kerja dear indone,1
bahkan banyak juga musisi yang baru terjun ke industri musik indonesia yang tidak kalah bagus sama musisi senior legend,1
ya sudah sih anggep saja emang itu kondisi dunia kita lama semua bahagia kenapa musti marah just let it bb,1
suara diva di kotak musik himakrim bagus banget,1
sebenernya dari dulu pun banyak musik sampah yang populer tapi yang tidak sampah juga banyak apa karena,1
sudah duga lagu video musik apocalypse dari im cyborg but thats ok pasti bagus,1
honey tidak ada yang lebih rendah daripada orang yang kekeuh ngomong musik kpop itu bagus,0
nah iya sama hal kaya supreme boi sifat dia gabagus tapi emang tidak bisa dipungkiri musik dia bagus,1
acting musik script cinematography bener bagus ya pantas oscar,1
bagus main musik saja kau,1
nah ini dapat yang bagus turut saya dan itu semua kembali lagi pada niat deh apala,1
film joker itu bagus apalagi ada kata orang jahat lahir dari orang baik yang sakit cuma kurang intro m,1
senang sekali streaming musik playlist musik viral favorit genre dan irama lagu sangat bagus,1
iya aamiin tidak butuh mereka jadi populer atau bagaimana mau tujuh dan bagai orang nikmat musik p,1
gapapasi dark mode bagus kok asal tidak seperti tetangga belah saja noh banyak dark nya wkwkwk lagi ya tiap ada idol,0
hangout ngechill d cafe atau nonton acara musik juga bagus pintar match sama outfit nya saja,1
bagus tuh bisa jadi toggle buat putar musik ya,1
lagu bagus banget sumpah gaya musik seperti begini mungkin tidak sih kalau ini lagu an,1
lagu yang bagus itu lirik jelas nada jelas suara vokal jelas musik iring jelas bunyi gitar jelas bu,1
tapiiii min ibu juga pernah bilang net kalau malam musik bagus tapi tidak ada gambar musik thok,1
politis yang marah marah ini kalau dibayangin kayak dulu cupu tidak punya selera musik bagus temen juga ada saja,1
tidak perlu harus lihat indie padahal suka musik major karena major juga banyak yang bagus bahkan inspiratif juga t,1
ini favorit saya kemaren di idol gara dia lumayan asik buat bawain lagu tori kelly yang turut saya tidak gampang bua,1
saya stayarmy tapi tetap suka dengerin musik dan lagu idol lain karena karya mereka bagus,1
lagi kalau dia rasa bisa bikin musik yang bagus ya sudah release saja begitu loh dia tuh seperti stuck di,0
buat orang yang sukaa musik keras emang bagus banget nder,1
tidak ada yang perlu d harepin era musik indonesia sudah lagi bagus bagus kok sekarang,1
yaboleh tidak suka fandomnya tapi jangan nyumpahin idolnya juga atuh sayang banget musik mereka bagus kok,1
sumpah tuju goblok banget dia arti maksud dia idol itu gaharus bisa dan erti musik apalagi buat lagu sakin,0
pagi dengerin musik ini pakai headset bikin mood bagus tapi sesuai selera juga sih ada yang jadi semangat denger,1
syukur kalian yang bisa main alat musik dan di beri berkah punya suara bagus,1
lagu bagus banget sumpah gaya musik seperti begini mungkin tidak sih kalau ini lagu an,1
bagus banget musik juicy luicy kan jadi ingin denger live musik lalahuta,1
sumpah sih habis kerja out itu mood jadi bagus banget kemarin depressive sampai berfikir apa it negatif sampai mau mulai,1
demi allah kerja kelompok musik tidak usah di kosan bisa gas iya tau bagus but not in the mood untuk hear yall performanc,0
jadi overall cara seluruh datang kembali ini epic banget moga ateez bisa dapet trophy di acara musik lagu in,1
walking in the rain bagus teryata cuyy kim wooseok sama nyata preference musik kitaa,1
guru musik belum tentu juga bisa nyanyi bagustapi mereka tau mana suara yang pas buat musik,1
bagus musik dan suara te banyak efek wkwk,1
cowok bisa main alat musik sih seperti keren saja begitu apalagi kalau suara bagus kan sekali bisa request lagu terus nyanyi bareng wkwk,1
musik di film ini bagus banget asli an banget mulut tidak bisa renti ikut nyanyi,1
dengerin musik galau pakai full volume juga bikin moodku bagus,1
dengar musik favorit antara jam sd pagi bisa naik mood bagus,1
paling iri sama mas sendiri dia tipe orang yang cepat ajar kreatif terampil punya problem solving yang bagus,1
wagelaseh musik di teasernya bagus banget ayo daysix tarik saya kembali,1
suka lagu tittle tracknya yaitu flash karena saya emang suka genre musik edm makanya pas denger lagu,1
mohon saya benci banget sama lagu dj gagak itu tidak ada bagus bagus samasekali dan tidak lucu kenapa sih orang pada,0
dear moon jaehwi itu ampuh banget di saya wkwkwk kalau mau coba dengerin musik klasik malah bagus bb,1
ko acara televisi tidak ada yang bagus ya dengrin musik dulu akhh untuk tani rasa bete saya,1
selera musik kamu bagus juga,1
couldnt tuju anymore sis musik ter bagus dari sisi komposisi di era musik jaman itu,1
bagus buat ke festival musik,1
ini army banyak yang speak up bukan karena triger atau apa ya bangsat kalau gp dan masyarakat us sana saja banyak y,0
jadi kalau saya suka dengerin radiohead terus saya tidak dengerin musik musik populer begitu hah anjeng saya juga dengarin dua lipa loh bangsat,0
kalau nyetel musik kaya orang budek bangsat bikin emosi saja,0
ini yang punya hajat tidak otak apa bagaimana mana sampai jam sudah bubar ini sampai jam lewatt mana musik dugem,0
musik metal soal satanis haha lucu saja lihat klean yang musik isi bucin tidak tambah wawas tambah galau iya it,0
tidak semua cowok yang tidak main bola bilang banci ye bangsat jangan enak jidat ngejudge orang saya tidak main bola,0
jika saudara mau dengar musik lihat jam lihat sekitar jangan enak mutar musik keras orang lain mau tidur terga,1
sudah emang bangsat acara musik satu itu,0
genre musik tetap edm tetapi lirik deep semua bangsat,0
dalih saja itu mereka kata pengin pakai musik islami mereka memang benci sama chopin dari dulu kala,0
benci banget saya sama musik iklan dana di krl,0
jujur benci banget sama laki mesum yang jadi gatekeeper di industri musik,0
se gimananya kamu benci sama musik dangdut tapi tidak kamu pernah joget kan kalau denger musik dangdut ya kan,0
saya tidak benci orangorangnya tapi cuma kurang suka sama genre musik saja selera musik orang itu bedabeda d,1
alas mengapa saya sangat benci musik ini,0
inti diehard fans of pee wee gaskins doyan banget musik skena benci darah daging dengan kpop,0
marah boleh tapi perlu benci boleh tapi sedikit saja banyak syukur kita kan boleh,1
tidak suka sama kata kata yang keluar dari mulut dia tinggal tutup dengar alihin pakai musik volume full tidak suka o,0
saya sama sekali tidak benci sama bangtan enggak sama sekali tapi saya kurang rasa hormat sama fans yang seolaholah menu,0
pernah kalau saya balik malah ibu kosannya yang kepo ish benci banget gadang ramai loh padahal itutu,0
mohon saya benci banget sama lagu dj gagak itu tidak ada bagus bagus samasekali dan tidak lucu kenapa sih orang pada,0
saya benci dan kesel dewh sama motor yang klakson nya besar banget seperti musik tanjidor ondel ondel sudah begitu suka telpon truz izzz,0
bisa tidak sih tidak usah diskriminasi orang dasar genre musik i mean ya i love kpop tapi tidak usah kaya ya,0
saya tidak suka ya kalau lagi dengerin musik di radio lagu yang diputerin lagu yang tidak saya tau kan saya jadi tidak bisa ikut nyanyi,0
hahaa iya tapi lumayan juga dapet sertif sama ilmu yang bikin tidak suka kalau kampus sih maba wajib iku,0
kenapa pada ngajakin nonton dwp sih demi apa saya tidak suka musik jedak jeduk,0
nikah tidak pakai resepsi tapi punya rumah impi ber soal tidak suka ramai pusing banyak orang ramai musik cepat,0
bagai orang yang tidak suka denger musik dari awal lagu i love kamu rebu keluar sampai sekarang emang gprnh dengerin terus ada versi f,0
selera si yaaa emang tidak suka lagu dan musik tetangga belah tidak nyantol kuping,0
saya tidak suka ya kalau lagi dengerin musik pakai henset kalian ajak ngobrol ganggu banget aseli,0
tidak suka banget sama musik yang terlalu ngebass ini jantung saya asa mau henti detak ketika takut mati,0
saya tidak suka ya kalau lagi diri diem nunggu kereta sambil denger musik badan suka goyang sendiri,0
tidak suka musik keras saya bukan anak mental,0
kirain musik luar soal saya tidak suka musik indonesia,0
saya tidak suka ya kalau balesnya pakai vn pas lagi dengerin musik ganggu suara tau tidak shebel ishh,0
tidak suka sama kata kata yang keluar dari mulut dia tinggal tutup dengar alihin pakai musik volume full tidak suka o,0
cuma tidak suka saja sama orang yang nyuruh ngecilin volume musik ruang saya ketika kaya yang ya kamu siapa jinga,0
saya tidak suka musik huhu,0
tidak tau sih tetapi emang sudah dari dulu sensi banget sama suara seperti begitu aplg musik yang tidak suka tetapi akhir ini makin parah denger,0
kuy nder mutualan tapi tidak suka musik,0
tapi suka musik begitu kan kak nonton artis lokal begitu tidak suka juga kak,0
sa teh tidak suka acara musik yah saya jawab tidak suka ramai ey jawab anjir introvert parah,0
buah bagi lagu yang mirip lagu lain auto jelek dan plagiat bagi netizen super nikmat original dan indie musik banget,0
suara jelek tidak bisa main alat musik tidak ada cewek obviously cant relate,0
suara jelek tidak bisa main alat musik cant relate,0
ingin jadi musisi kenal syukur bisa go internesyenel cuma ya suara jelek jago main alat musik juga tidak ramutu emang wkwkw,0
musik mainstream tidak jelek,1
somehow saya capek jadi orang yang sedikit ngerti musik talking shit like a superior as if kamu only have untuk listen,0
lebih baik jadi diri sendiri ketika usaha tidak jadi orang lain malah hujat selera musik kamu jelek das,0
selera musik perintah kota tasik jelek,0
kadang tuh orang kalau obsessed suka buta mata buta hati musik emang beda selera tapi kalau jelek ya jelek,0
kenapa sound di arab jelek bgtt sihh micnya suara kecil tidak imbang sama backsound feedback teruus musik kep,0
oalah jingan besok uh seni musik sama basa daerah tapi mood saya jelek banget buat ajar,0
saya mah mau gaya apa warna apa style seperti apa tetap cinta sama winner karena sungguh musik adl hal yang utama lagipula m,1
selera musik saya jelek amat ya mau galau bangun tidur belum tidur kerja tugas poko semua giat lagu nya rock,0
padahal bom tentu yang viewersnya sedikit itu lagu jelek dan balik musik kan bagaimana orang bisa enjoy bukan kompetisi,1
konser musik tapi kamera sctv jelek banget,0
pantas jelek terus orang tidak bisa mainin alat musik,0
jelek terus saya gemini tidak bisa main musik anjing,0
me gemini tapi tidak bisa main alat musik arti ya jelek terussss,0
ngopi sambil dengerin musik tapi claritynya jelek kacaw hidup,0
mohon saya benci banget sama lagu dj gagak itu tidak ada bagus bagus samasekali dan tidak lucu kenapa sih orang pada,0
ko acara televisi tidak ada yang bagus ya dengrin musik dulu akhh untuk tani rasa bete saya,0
rasa meski dalam hati alun musik riang ketika laku tugas ringan,1
temen enak kalau ke korea pas autumn suasana bagus banyak festival musik banjir lineup dan tiket gratis,1
selera musik kamu bagus juga,1
couldnt tuju anymore sis musik ter bagus dari sisi komposisi di era musik jaman itu,1
bagus buat ke festival musik,1
makin kesini kok saya rada jijik ya sama dia asa punya scent musik paling tinggi sampai ngejatuhin boygroup la,0
tapi tetap saja sedih saya harus lebih baik dari ini kalau kamu ngefans sama buah band mesti tidak ada bias karena,1
iya sempet seperti kecewa juga si karena tidak sesuai sama musik joji yang saya ekspektasi yang biasa musik r,0
lagu musik tidak kecewa kok cuma ya bias saya tidak dapat part sendiri ya kecewany dapat banget,0
milenials ajak datang ke acara musik semangat banget pada ramai tempat full gilir ajak ke masjid ada saja,0
saya benar benar kecewa berat sama mereka saya pilih komunitas musik krena saya cinta bngt sama musik walaupun saya tidak bgit,0
industri musik kpop lagi duka,1
bisa tidak sih tidak usah diskriminasi orang dasar genre musik i mean ya i love kpop tapi tidak usah kaya ya,1
iya kan saya dulu juga tidak nyangka bakal suka sama boyband korea imejnya dulu tuh tidak banget n heran sama,0
anjing memang itu orang kenapa bawa musik kpop si babi ingin kali kaya nya saya pukul pakai kitab kuning wkwk,0
ada apa kpop sekarang tidak se santuy dulu dulu cuma nikmatin musik dan talent para idol tapi sekarang makin ikut c,0
oh pantas sejarawan goblok benci islam jilat perintah sperti mazzini ngaco terus rupa p,0
kalau tidak suka kpop tidak ush koar koar bacot ngomong begini saja bukan army tapi yang bilang billbo,0
aneh tau mas aji gemes sih wkwkwk langsung lihat komen di yutubnya ada yang bilang kpop laknatullah,0
saya masih tida erti kl musik itu kata haram kan terus kenapa hanya kpop yang di kait sama dajja,0
dalam islam musik emang larang tidak cuma kpop,0
yah kalau kamu rasa sakit kamu nya saja yang baperan yang kita bahas adalah sesuatu yang tidak,0
sok ngelakuin bela mengatasnamakan industri musik kpop asa kamu saja sudah yang ketrigger,0
iya mereka hancur citra musik kpop sudah maksa banget pen masuk bllbrd apa,0
buat artis kpop siapa pasti rusak di mata wasternorang orang sana pasti berfikir kpop ngelakuin berbaga,0
lagi kesel akuu suruh insaf dari kpop sama temen karena haram terus piyo jawab kamu kan suka musik musik juga haram tolol,0
tau hubung nya sama kpop apa kan kpop itu genre musik nah selera musik orang pasti beda kan,1
kenapa yang highlight kpop saja emang musik kpop saja ew,0
emang salah suka kpop emang salah suka dangdut emang salah suka metal emang salah suka rock yuukbelajar un,1
tiap orang punya cara masing buat cari hibur kan nah kalau saya ya dengerin musik hari ini d,1
gemar kpop tapi soal genre musik lebih suka soft rock dan pop,1
ada orangorang yang juga nikmat musik kpop seperti layak nikmat nonton bola atau nikmat sinetron yang,1
orang sok ara bilang musik haram boikot kpop meanwhile orang arab enjoy,1
rlt orang sana kaya lebih santai ya daripada beberapa orang sini yang anti banget kalau lihat orang lain have fu,0
ya kenapa sih anak sekarang suka kpop musik alay degradasi moral remaja padahal kan,0
emang ya kpop bukan genre musik di indonesia seperti lebih puja kaya begitu heran sudah wkwk,0
